Price,Year
529500,03/09/17
1223000,03/09/17
950000,03/09/17
1206000,03/09/17
1035000,03/09/17
1678000,03/09/17
1000000,03/09/17
1630000,03/09/17
456000,03/09/17
,03/09/17
1646000,04/03/17
,04/03/17
603000,04/03/17
700000,04/03/17
600000,04/03/17
1850000,04/03/17
1436000,04/03/17
730000,04/03/17
730000,04/03/17
1492000,04/03/17
1120000,04/03/17
960000,04/03/17
421000,04/03/17
1405000,04/03/17
,04/03/17
593000,04/03/17
2050000,04/03/17
1870000,04/03/17
678000,04/03/17
,04/03/17
2050000,04/03/17
1850000,04/03/17
1284000,04/03/17
1575000,04/03/17
1991000,04/03/17
1045000,04/03/17
1045000,04/03/17
,04/03/17
1126000,04/03/17
700000,04/03/17
740000,04/03/17
848000,04/03/17
806000,04/03/17
,04/03/17
812000,04/03/17
4260000,04/03/17
,04/03/17
2000000,04/03/17
1750000,04/03/17
2614000,04/03/17
1825000,04/03/17
2550000,04/03/17
790000,04/03/17
702000,04/03/17
836000,04/03/17
1190000,04/03/17
1555000,04/03/17
2310000,04/03/17
1086000,04/03/17
1450000,04/03/17
,04/03/17
2470000,04/03/17
896000,04/03/17
1115000,04/03/17
1190000,04/03/17
1270000,04/03/17
1025000,04/03/17
737500,04/03/17
1960000,04/03/17
532000,04/03/17
1021000,04/03/17
877000,04/03/17
1480000,04/03/17
2015000,04/03/17
730000,04/03/17
1000000,04/03/17
1326000,04/03/17
735000,04/03/17
566000,04/03/17
483500,04/03/17
922000,04/03/17
645000,04/03/17
790000,04/03/17
880000,04/03/17
1300000,04/03/17
1390000,04/03/17
4250000,04/03/17
2905000,04/03/17
1300000,04/03/17
,04/03/17
2266000,04/03/17
,04/03/17
1302500,04/03/17
1445000,04/03/17
,04/03/17
1840000,04/03/17
550000,04/03/17
546000,04/03/17
,04/03/17
570000,04/03/17
1330000,04/03/17
2230000,04/03/17
410000,04/03/17
580000,04/03/17
675000,04/03/17
940000,04/03/17
1495000,04/03/17
942000,04/03/17
471000,04/03/17
,04/03/17
1336000,04/03/17
920000,04/03/17
791000,04/03/17
820000,04/03/17
805000,04/03/17
811000,04/03/17
1505000,04/03/17
,04/03/17
935000,04/03/17
1400000,04/03/17
,04/03/17
,04/03/17
2240000,04/03/17
,04/03/17
,04/03/17
,04/03/17
,04/03/17
,04/03/17
765000,04/03/17
,04/03/17
2130000,04/03/17
1460000,04/03/17
1540000,04/03/17
1425000,04/03/17
1725000,04/03/17
510000,04/03/17
1647000,04/03/17
255000,04/03/17
890000,04/03/17
346000,04/03/17
586000,04/03/17
323000,04/03/17
,04/03/17
1065000,04/03/17
644000,04/03/17
650000,04/03/17
750000,04/03/17
895000,04/03/17
680000,04/03/17
720000,04/03/17
1020000,04/03/17
,04/03/17
