Price,Year
1030000,03/12/2016
1060000,03/12/2016
980000,03/12/2016
1010000,03/12/2016
851500,03/12/2016
655000,03/12/2016
680000,03/12/2016
1221000,03/12/2016
807000,03/12/2016
790000,03/12/2016
955000,03/12/2016
895000,03/12/2016
1260000,03/12/2016
372500,03/12/2016
391000,03/12/2016
446000,03/12/2016
520000,03/12/2016
986000,03/12/2016
631000,03/12/2016
650000,03/12/2016
601000,03/12/2016
526000,03/12/2016
2302000,03/12/2016
905000,03/12/2016
882000,03/12/2016
1403000,03/12/2016
1408000,03/12/2016
855000,03/12/2016
1396000,03/12/2016
930000,03/12/2016
1730000,03/12/2016
1820000,03/12/2016
4525000,03/12/2016
1625000,03/12/2016
906000,03/12/2016
890000,03/12/2016
870000,03/12/2016
874000,03/12/2016
507000,03/12/2016
525000,03/12/2016
2116000,03/12/2016
,03/12/2016
750000,03/12/2016
510000,03/12/2016
599999,03/12/2016
300000,03/12/2016
462000,03/12/2016
580000,03/12/2016
493000,03/12/2016
505000,03/12/2016
531500,03/12/2016
1900000,03/12/2016
595000,03/12/2016
670000,03/12/2016
,03/12/2016
553000,03/12/2016
1003000,03/12/2016
840000,03/12/2016
1362000,03/12/2016
977000,03/12/2016
1587000,03/12/2016
660000,03/12/2016
590000,03/12/2016
615000,03/12/2016
584000,03/12/2016
452000,03/12/2016
585000,03/12/2016
610000,03/12/2016
1311000,03/12/2016
,03/12/2016
2260000,03/12/2016
1753000,03/12/2016
1998000,03/12/2016
1011000,03/12/2016
1430000,03/12/2016
1100000,03/12/2016
1364000,03/12/2016
1505000,03/12/2016
1038500,03/12/2016
,03/12/2016
610000,03/12/2016
500000,03/12/2016
800000,03/12/2016
806500,03/12/2016
1250000,03/12/2016
645000,03/12/2016
840000,03/12/2016
1000000,03/12/2016
686000,03/12/2016
610000,03/12/2016
630000,03/12/2016
870000,03/12/2016
1871000,03/12/2016
2140000,03/12/2016
,03/12/2016
1003500,03/12/2016
1686500,03/12/2016
,03/12/2016
5100000,03/12/2016
2670000,03/12/2016
,03/12/2016
,03/12/2016
1480000,03/12/2016
348000,03/12/2016
,03/12/2016
,03/12/2016
1189000,03/12/2016
1550000,03/12/2016
,03/12/2016
2151000,03/12/2016
1140000,03/12/2016
,03/12/2016
1240000,03/12/2016
837000,03/12/2016
546500,03/12/2016
,03/12/2016
1380000,03/12/2016
1800000,03/12/2016
,03/12/2016
1000000,03/12/2016
1207500,03/12/2016
382000,03/12/2016
444000,03/12/2016
488000,03/12/2016
465000,03/12/2016
1490000,03/12/2016
1340000,03/12/2016
1601000,03/12/2016
1775000,03/12/2016
470000,03/12/2016
681000,03/12/2016
480000,03/12/2016
590000,03/12/2016
900000,03/12/2016
,03/12/2016
775000,03/12/2016
562500,03/12/2016
,03/12/2016
2250000,03/12/2016
4350000,03/12/2016
960000,03/12/2016
662000,03/12/2016
540000,03/12/2016
568000,03/12/2016
525000,03/12/2016
990000,03/12/2016
706000,03/12/2016
1002000,03/12/2016
711000,03/12/2016
2660000,03/12/2016
,03/12/2016
980000,03/12/2016
,03/12/2016
2055000,03/12/2016
2355000,03/12/2016
1036000,03/12/2016
,03/12/2016
2273000,03/12/2016
708000,03/12/2016
365000,03/12/2016
427000,03/12/2016
722000,03/12/2016
,03/12/2016
295000,03/12/2016
1105000,03/12/2016
481000,03/12/2016
2350000,03/12/2016
710500,03/12/2016
600000,03/12/2016
840000,03/12/2016
492000,03/12/2016
1090000,03/12/2016
1062000,03/12/2016
975000,03/12/2016
1010000,03/12/2016
1715000,03/12/2016
,03/12/2016
1055000,03/12/2016
348000,03/12/2016
947500,03/12/2016
836000,03/12/2016
1780000,03/12/2016
1450000,03/12/2016
,03/12/2016
1495000,03/12/2016
,03/12/2016
740000,03/12/2016
1300000,03/12/2016
1855500,03/12/2016
,03/12/2016
976000,03/12/2016
1850000,03/12/2016
990000,03/12/2016
,03/12/2016
,03/12/2016
962000,03/12/2016
1330000,03/12/2016
540000,03/12/2016
340000,03/12/2016
,03/12/2016
1090000,03/12/2016
1250000,03/12/2016
,03/12/2016
647000,03/12/2016
865000,03/12/2016
981000,03/12/2016
1100000,03/12/2016
1715000,03/12/2016
1960000,03/12/2016
360500,03/12/2016
1050000,03/12/2016
1360000,03/12/2016
915000,03/12/2016
975000,03/12/2016
770000,03/12/2016
600000,03/12/2016
640000,03/12/2016
551000,03/12/2016
2365000,03/12/2016
1380000,03/12/2016
1150000,03/12/2016
985000,03/12/2016
2200000,03/12/2016
2105000,03/12/2016
549800,03/12/2016
